"WHO region","Year","Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)"
"Europe"," 2001","17.7 [17.1-18.3]"," 10.6","21.1 [20.4-22.1]"
"Europe"," 2000","18.5 [18.0-19.2]"," 11.0","22.3 [21.6-23.2]"
"Europe"," 1999","19.4 [18.9-20.0]"," 11.5","23.5 [22.8-24.3]"
"Europe"," 1998","20.2 [19.7-20.8]"," 11.9","24.6 [23.9-25.4]"
"Europe"," 1997","21.0 [20.5-21.7]"," 12.3","25.7 [25.0-26.5]"
"Europe"," 1996","21.9 [21.3-22.5]"," 12.7","26.8 [26.0-27.6]"
"Europe"," 1995","22.7 [22.2-23.4]"," 13.1","27.9 [27.1-28.7]"
"Europe"," 1994","23.5 [23.0-24.2]"," 13.5","28.9 [28.1-29.8]"
"Europe"," 1993","24.3 [23.7-24.9]"," 13.9","29.8 [29.0-30.7]"
"Europe"," 1992","24.9 [24.3-25.5]"," 14.2","30.5 [29.8-31.4]"
"Europe"," 1991","25.4 [24.9-26.0]"," 14.5","31.2 [30.4-32.1]"
"Europe"," 1990","25.9 [25.4-26.5]"," 14.7","31.9 [31.1-32.8]"
"Eastern Mediterranean"," 2015","40.5 [36.6-46.1]"," 26.6","52.0 [46.5-60.6]"
"Eastern Mediterranean"," 2014","41.6 [38.1-46.6]"," 27.3","53.6 [48.7-61.1]"
"Eastern Mediterranean"," 2013","42.9 [39.8-47.3]"," 28.0","55.5 [51.0-62.2]"
"Eastern Mediterranean"," 2012","44.3 [41.5-48.2]"," 28.9","57.5 [53.5-63.5]"
"Eastern Mediterranean"," 2011","45.7 [43.2-49.2]"," 29.7","59.5 [55.8-64.9]"
"Eastern Mediterranean"," 2010","47.1 [44.7-50.2]"," 30.4","61.3 [57.9-66.2]"
"Eastern Mediterranean"," 2009","48.2 [46.1-51.0]"," 30.9","63.1 [59.9-67.3]"
"Eastern Mediterranean"," 2008","49.3 [47.4-51.7]"," 31.4","64.7 [61.9-68.5]"
"Eastern Mediterranean"," 2007","50.4 [48.7-52.5]"," 31.9","66.4 [63.8-69.7]"
"Eastern Mediterranean"," 2006","51.5 [49.9-53.4]"," 32.4","68.0 [65.6-71.1]"
"Eastern Mediterranean"," 2005","52.6 [51.2-54.4]"," 33.0","69.8 [67.5-72.6]"
"Eastern Mediterranean"," 2004","53.9 [52.5-55.6]"," 33.8","71.6 [69.4-74.3]"
"Eastern Mediterranean"," 2003","55.3 [53.9-56.9]"," 34.7","73.5 [71.3-76.1]"
"Eastern Mediterranean"," 2002","56.7 [55.3-58.3]"," 35.7","75.5 [73.3-78.1]"
"Eastern Mediterranean"," 2001","58.2 [56.8-59.8]"," 36.6","77.5 [75.4-80.1]"
"Eastern Mediterranean"," 2000","59.7 [58.3-61.3]"," 37.5","79.6 [77.4-82.1]"
"Eastern Mediterranean"," 1999","61.2 [59.9-62.9]"," 38.4","81.7 [79.6-84.2]"
"Eastern Mediterranean"," 1998","62.8 [61.4-64.4]"," 39.2","83.9 [81.8-86.4]"
"Eastern Mediterranean"," 1997","64.4 [63.0-66.0]"," 40.1","86.1 [83.9-88.6]"
"Eastern Mediterranean"," 1996","65.9 [64.5-67.5]"," 40.8","88.1 [86.0-90.6]"
"Eastern Mediterranean"," 1995","67.3 [65.9-68.9]"," 41.4","90.1 [87.9-92.6]"
"Eastern Mediterranean"," 1994","68.7 [67.3-70.3]"," 42.0","92.0 [89.9-94.6]"
"Eastern Mediterranean"," 1993","70.0 [68.6-71.6]"," 42.4","94.0 [91.9-96.5]"
"Eastern Mediterranean"," 1992","71.3 [70.0-73.0]"," 42.5","95.9 [93.9-98.5]"
"Eastern Mediterranean"," 1991","72.7 [71.4-74.4]"," 42.5","98.0 [96.0-100.6]"
